gearbox,optional,fuel_type_Benzyna+CNG,fuel_type_Benzyna+LPG,fuel_type_Diesel,fuel_type_Elektryczny,fuel_type_Hybryda,brand_model_target,age_normalized,mileage_normalized,engine_capacity_normalized
1,1,0,0,1,0,0,242870.9479768786,0.39285714285714285,12.230770136157428,0.24465408805031447
0,1,0,0,1,0,0,43336.6640625,0.4642857142857143,12.429220196836383,0.23270440251572327
0,0,0,0,0,0,0,43161.88349514563,0.4642857142857143,12.273735966890268,0.2450314465408805
0,1,0,0,1,0,0,78289.54189944133,0.35714285714285715,12.055255569732177,0.189937106918239
1,1,0,0,1,0,0,134698.18779342723,0.39285714285714285,12.278397958261774,0.36943396226415093
0,0,0,0,0,0,0,13461.777479892762,0.35714285714285715,12.05339338263787,0.19333333333333333
0,0,0,0,1,0,0,65190.06639839034,0.32142857142857145,12.037659911047468,0.189937106918239
0,1,0,0,0,0,0,80067.44684684684,0.03571428571428571,0.6931471805599453,0.19471698113207547
0,1,0,0,1,0,0,15290.285714285714,0.5714285714285714,12.071403463011007,0.2339622641509434
0,1,0,0,0,0,0,60021.53082191781,0.2857142857142857,11.527823929632195,0.15949685534591196
0,1,0,0,1,0,0,20911.976608187135,0.42857142857142855,12.301387370778713,0.2743396226415094
1,0,0,0,0,0,0,106915.4512195122,0.14285714285714285,10.279626831262464,0.16125786163522013
0,0,0,0,1,0,0,53571.983425414364,0.4642857142857143,12.301387370778713,0.189937106918239
1,1,0,0,1,0,0,107927.86026200873,0.0,0.6931471805599453,0.18213836477987422
1,1,0,0,1,0,0,112330.44021739131,0.14285714285714285,11.127277689932466,0.37018867924528304
1,1,0,0,1,0,0,145968.7868852459,0.14285714285714285,11.542493975902508,0.24465408805031447
1,1,0,0,0,0,0,201943.34523809524,0.14285714285714285,11.055656405795794,0.18226415094339624
0,1,0,1,0,0,0,67996.18014705883,0.4642857142857143,12.19602736016897,0.19471698113207547
0,0,0,0,0,0,0,43825.05150214592,0.14285714285714285,11.744045122410057,0.11924528301886793
1,0,0,0,0,0,0,35827.912280701756,0.6071428571428571,12.177678315028167,0.19471698113207547
1,1,0,0,0,0,0,201943.34523809524,0.14285714285714285,11.408686542313973,0.3708176100628931
0,0,0,0,0,0,0,58211.51861702128,0.14285714285714285,11.050905878263567,0.14452830188679244
0,1,0,0,0,0,0,21670.004273504273,0.5,12.04355959836804,0.1680503144654088
0,1,0,0,0,0,0,35705.666666666664,0.21428571428571427,11.252871529635922,0.10666666666666667
1,0,0,0,0,0,0,109371.45819014891,0.7142857142857143,12.460718739865236,0.26679245283018865
